kata,Single Family,Multi Family,Mixed Use,Commercial,Industrial,Vacant Land
CL,0.0,0.0,0.0,95.0,0.0,0.0
RR,0.0,0.0,0.0,92.0,4.0,0.0
CLINIC,0.0,0.0,0.0,88.0,0.0,0.0
HALL,0.0,0.0,0.0,88.0,0.0,0.0
POLICE,0.0,0.0,0.0,86.0,0.0,0.0
FIRE,0.0,0.0,0.0,86.0,0.0,0.0
MED,0.0,0.0,0.0,72.0,0.0,0.0
HOOD,0.0,0.0,0.0,66.0,0.0,0.0
CEMETERY,0.0,0.0,0.0,63.0,0.0,0.0
PERS,0.0,0.0,0.0,62.0,0.0,0.0
MUSEUM,0.0,0.0,0.0,58.0,0.0,0.0
WASH,0.0,0.0,0.0,57.0,0.0,0.0
LIBRARY,0.0,0.0,0.0,55.0,0.0,0.0
FULL,0.0,0.0,0.0,53.0,0.0,0.0
SRV,0.0,0.0,0.0,53.0,0.0,0.0
HOSP,0.0,0.0,0.0,52.0,0.0,0.0
AGNCY,0.0,0.0,0.0,52.0,0.0,0.0
DEALER,0.0,0.0,0.0,52.0,0.0,0.0
JUNKYARD,0.0,0.0,0.0,49.0,0.0,0.0
METAL,0.0,0.0,0.0,48.0,78.0,0.0
SUPERMKT,0.0,0.0,0.0,46.0,0.0,0.0
MENTAL,0.0,0.0,0.0,38.0,0.0,0.0
NURSE,0.0,0.0,0.0,36.0,0.0,0.0
THEATRE,0.0,0.0,0.0,35.0,0.0,0.0
DISCO,0.0,0.0,0.0,35.0,0.0,0.0
NITECLB,0.0,0.0,0.0,35.0,0.0,0.0
BLDG,0.0,0.0,0.0,33.0,167.0,0.0
LODGE,0.0,0.0,0.0,33.0,0.0,0.0
DEPOT,0.0,0.0,0.0,31.0,0.0,0.0
SEPTA,0.0,0.0,0.0,31.0,0.0,0.0
SUBSTA,0.0,0.0,0.0,30.0,0.0,0.0
SWIM,0.0,0.0,0.0,30.0,0.0,0.0
POOL,0.0,0.0,0.0,30.0,0.0,0.0
POWRHSE,0.0,0.0,0.0,30.0,0.0,0.0
PARTS,0.0,0.0,0.0,28.0,0.0,0.0
OFFICE,0.0,0.0,0.0,28.0,0.0,0.0
SUPPLY,0.0,0.0,0.0,28.0,0.0,0.0
FRATERNITIES,0.0,0.0,0.0,28.0,0.0,0.0
POST,0.0,0.0,0.0,28.0,0.0,0.0
TIRE,0.0,0.0,0.0,26.0,0.0,0.0
CENTER,0.0,0.0,0.0,26.0,0.0,0.0
ADMIN,0.0,0.0,0.0,23.0,0.0,0.0
GARAGE,0.0,0.0,0.0,22.0,0.0,0.0
TYPE,0.0,0.0,0.0,21.0,0.0,0.0
YMCA,0.0,0.0,0.0,21.0,0.0,0.0
CODED,0.0,0.0,0.0,20.0,0.0,0.0
NOT,0.0,0.0,0.0,20.0,0.0,0.0
FILT,0.0,0.0,0.0,18.0,0.0,0.0
BUS,0.0,0.0,0.0,17.0,0.0,0.0
LIFE,0.0,0.0,0.0,17.0,0.0,0.0
SUB,0.0,0.0,0.0,15.0,0.0,0.0
TRANS,0.0,0.0,0.0,14.0,0.0,0.0
TWR,0.0,0.0,0.0,14.0,0.0,0.0
ONLY,0.0,0.0,0.0,13.0,0.0,0.0
GOLF,0.0,0.0,0.0,13.0,0.0,0.0
COURSE,0.0,0.0,0.0,13.0,0.0,0.0
ETC,0.0,0.0,0.0,12.0,0.0,0.0
STAD,0.0,0.0,0.0,12.0,0.0,0.0
PIERS,0.0,0.0,0.0,11.0,0.0,0.0
RESEARCH,0.0,0.0,0.0,10.0,0.0,0.0
BOWL,0.0,0.0,0.0,8.0,0.0,0.0
RTS,0.0,0.0,0.0,8.0,0.0,0.0
HOUSE,0.0,0.0,0.0,8.0,0.0,0.0
ALLEY,0.0,0.0,0.0,8.0,0.0,0.0
PRV,0.0,0.0,0.0,8.0,0.0,0.0
OPEN,0.0,0.0,0.0,8.0,0.0,0.0
TV,0.0,0.0,0.0,7.0,0.0,0.0
REG,0.0,0.0,0.0,7.0,0.0,0.0
RADIO,0.0,0.0,0.0,7.0,0.0,0.0
TERM,0.0,0.0,0.0,7.0,48.0,0.0
VEHICLE,0.0,0.0,0.0,6.0,0.0,0.0
TRUCK,0.0,0.0,0.0,6.0,48.0,0.0
INSTAL,0.0,0.0,0.0,6.0,0.0,0.0
RENTAL,0.0,0.0,0.0,6.0,0.0,0.0
CORRECTIONAL,0.0,0.0,0.0,6.0,0.0,0.0
MILIT,0.0,0.0,0.0,6.0,0.0,0.0
LAB,0.0,0.0,0.0,5.0,0.0,0.0
COURT,0.0,0.0,0.0,5.0,0.0,0.0
DEAF,0.0,0.0,0.0,5.0,0.0,0.0
BLIND,0.0,0.0,0.0,5.0,0.0,0.0
F,0.0,0.0,0.0,5.0,0.0,0.0
ATT,0.0,0.0,0.0,4.0,0.0,0.0
BTH,0.0,0.0,0.0,4.0,0.0,0.0
MOVIE,0.0,0.0,0.0,3.0,0.0,0.0
PIER,0.0,0.0,0.0,2.0,0.0,0.0
GREENHOUSE,0.0,0.0,0.0,2.0,0.0,0.0
MARINA,0.0,0.0,0.0,2.0,0.0,0.0
CRIBBED,0.0,0.0,0.0,1.0,0.0,0.0
LINEN,0.0,0.0,0.0,1.0,0.0,0.0
COMMERCE,0.0,0.0,0.0,1.0,0.0,0.0
E,0.0,0.0,0.0,1.0,0.0,0.0
UNIFORM,0.0,0.0,0.0,1.0,0.0,0.0
IND,0.0,0.0,0.0,0.0,4206.0,0.0
WAREHOUSE,0.0,0.0,0.0,0.0,2733.0,0.0
MFG,0.0,0.0,0.0,0.0,430.0,0.0
LGHT,0.0,0.0,0.0,0.0,297.0,0.0
FACTORY,0.0,0.0,0.0,0.0,194.0,0.0
WHSE,0.0,0.0,0.0,0.0,189.0,0.0
MINI,0.0,0.0,0.0,0.0,154.0,0.0
LIGHT,0.0,0.0,0.0,0.0,133.0,0.0
INDUS,0.0,0.0,0.0,0.0,101.0,0.0
COLD,0.0,0.0,0.0,0.0,35.0,0.0
REFINING,0.0,0.0,0.0,0.0,26.0,0.0
YD,0.0,0.0,0.0,0.0,20.0,0.0
SCRAP,0.0,0.0,0.0,0.0,20.0,0.0
YARD,0.0,0.0,0.0,0.0,13.0,0.0
MILL,0.0,0.0,0.0,0.0,11.0,0.0
LUMBER,0.0,0.0,0.0,0.0,9.0,0.0
FOUNDRY,0.0,0.0,0.0,0.0,7.0,0.0
MARINE,0.0,0.0,0.0,0.0,5.0,0.0
TERMINAL,0.0,0.0,0.0,0.0,5.0,0.0
BREWERY,0.0,0.0,0.0,0.0,5.0,0.0
PLANT,0.0,0.0,0.0,0.0,4.0,0.0
INCINERATOR,0.0,0.0,0.0,0.0,4.0,0.0
FREIGHT,0.0,0.0,0.0,0.0,4.0,0.0
ASSEMBLY,0.0,0.0,0.0,0.0,4.0,0.0
CEMENT,0.0,0.0,0.0,0.0,3.0,0.0
ASPHALT,0.0,0.0,0.0,0.0,3.0,0.0
PLNT,0.0,0.0,0.0,0.0,3.0,0.0
PLANTS,0.0,0.0,0.0,0.0,3.0,0.0
CHEMICAL,0.0,0.0,0.0,0.0,3.0,0.0
LAND,0.0,0.0,0.0,0.0,0.0,42525.0
VACANT,0.0,0.0,0.0,0.0,0.0,42525.0
ACRE,0.0,0.0,0.0,0.0,0.0,42375.0
RESIDE,0.0,0.0,0.0,0.0,0.0,37254.0
COMMER,0.0,0.0,0.0,0.0,0.0,3324.0
NON,0.0,0.0,0.0,0.0,0.0,2005.0
INDUST,0.0,0.0,0.0,0.0,0.0,1797.0
BILLBOARD,0.0,0.0,0.0,0.0,0.0,150.0
BUILD,0.0,0.0,0.0,0.0,0.0,82.0
